,Quote,Author
0,"Don't cry because it's over, smile because it happened",Dr. Seuss
1,Be yourself; everyone else is already taken,Oscar Wilde
2,Two things are infinite: the universe and human stupidity; and I'm not sure about the universe,Albert Einstein
3,A room without books is like a body without a soul,Marcus Tullius Cicero
4,"So many books, so little time",Frank Zappa
5,"You only live once, but if you do it right, once is enough",Mae West
6,Be the change that you wish to see in the world,Mahatma Gandhi
7,In three words I can sum up everything I've learned about life: it goes on,Robert Frost
8,"If you tell the truth, you don't have to remember anything",Mark Twain
9,A friend is someone who knows all about you and still loves you,Elbert Hubbard
10,Always forgive your enemies; nothing annoys them so much,Oscar Wilde
11,Live as if you were to die tomorrow. Learn as if you were to live forever,Mahatma Gandhi
12,"To live is the rarest thing in the world. Most people exist, that is all",Oscar Wilde
13,"Insanity is doing the same thing, over and over again, but expecting different results",Narcotics Anonymous
14,Life is what happens to you while you're busy making other plans,Allen Saunders
15,"Good friends, good books, and a sleepy conscience: this is the ideal life",Mark Twain
16,A woman is like a tea bag; you never know how strong it is until it's in hot water,Eleanor Roosevelt
17,If you don't stand for something you will fall for anything,Gordon A. Eadie
18,The man who does not read has no advantage over the man who cannot read,Mark Twain
19,"I have not failed. I've just found 10,000 ways that won't work",Thomas A. Edison
20,"It is not a lack of love, but a lack of friendship that makes unhappy marriages",Friedrich Nietzsche
21,"A day without sunshine is like, you know, night",Steve Martin
22,"I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living",Dr. Seuss
23,Never put off till tomorrow what may be done day after tomorrow just as well,Mark Twain
24,That which does not kill us makes us stronger,Friedrich Nietzsche
25,"If you judge people, you have no time to love them",Mother Teresa
26,For every minute you are angry you lose sixty seconds of happiness,Ralph Waldo Emerson
27,"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage",Lao Tzu
28,It is never too late to be what you might have been,George Eliot
29,"I'm not upset that you lied to me, I'm upset that from now on I can't believe you",Friedrich Nietzsche
30,"If you can't explain it to a six year old, you don't understand it yourself",Albert Einstein
31,"Women and cats will do as they please, and men and dogs should relax and get used to the idea",Robert A. Heinlein
32,Sometimes the questions are complicated and the answers are simple,Dr. Seuss
33,I have always imagined that Paradise will be a kind of library,Jorge Luis Borges
34,"We don't see things as they are, we see them as we are",Anaïs Nin
35,All you need is love. But a little chocolate now and then doesn't hurt,Charles M. Schulz
36,Everything you can imagine is real,Pablo Picasso
37,"Whenever I feel the need to exercise, I lie down until it goes away",Paul Terry
38,I'm not afraid of death; I just don't want to be there when it happens,Woody Allen
39,Logic will get you from A to Z; imagination will get you everywhere,Albert Einstein
40,"One good thing about music, when it hits you, you feel no pain",Bob Marley
41,Not all of us can do great things. But we can do small things with great love,Mother Teresa
42,"The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for",Bob Marley
43,Folks are usually about as happy as they make their minds up to be,Abraham Lincoln
44,You can never get a cup of tea large enough or a book long enough to suit me,C.S. Lewis
45,"If one cannot enjoy reading a book over and over again, there is no use in reading it at all",Oscar Wilde
46,The difference between genius and stupidity is: genius has its limits,Alexandre Dumas-fils
47,"Do what you can, with what you have, where you are",Theodore Roosevelt
48,"If you can make a woman laugh, you can make her do anything",Marilyn Monroe
49,Life isn't about finding yourself. Life is about creating yourself,George Bernard Shaw
50,"A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left",Marilyn Monroe
51,"Life is like riding a bicycle. To keep your balance, you must keep moving",Albert Einstein
52,There is no friend as loyal as a book,Ernest Hemingway
53,Do one thing every day that scares you,Eleanor Roosevelt
54,If I had a flower for every time I thought of you...I could walk through my garden forever,Alfred Lord Tennyson
55,Some people never go crazy. What truly horrible lives they must lead,Charles Bukowski
56,"Success is not final, failure is not fatal: it is the courage to continue that counts",Winston S. Churchill
57,It is what you read when you don't have to that determines what you will be when you can't help it,Oscar Wilde
58,Go to heaven for the climate and hell for the company,Benjamin Franklin Wade
59,The reason I talk to myself is because I’m the only one whose answers I accept,George Carlin
